BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Camden,Archives,,14 Stephenson Way,,,,E09000007,Camden,,,529442.9648080104,,,E09000007,51.52650623018933,-0.13543511856828291,182490.92322688806,5087912,,04/20/2020,Royal Asiatic Society,,E05000142,Regent's Park,,,,https://royalasiaticsociety.org/
Camden,Archives,,17 Bloomsbury Square,,,,E09000007,Camden,,,530259.9645842931,,,E09000007,51.51890444480327,-0.123969462156409,181665.92344803718,5087926,,04/20/2020,German Historical Institute London,,E05000138,Holborn and Covent Garden,,,,https://www.ghil.ac.uk/home.html
Camden,Archives,,Newsam Library and Archives ,20 Bedford Way,,,E09000007,Camden,,,529972.9646632306,,,E09000007,51.52297861917411,-0.12793915537557202,182111.92332833871,5087943,,04/20/2020,London University: Institute of Education,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/ioe/
Camden,Archives,,University of London ,31-34 Gordon Square,,,E09000007,Camden,,,529711.9647347204,,,E09000007,51.52491680898166,-0.1316221883179135,182320.92327266483,5087993,,04/20/2020,London University: Institute of Archaeology,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/archaeology
Camden,Archives,,50 Fitzroy Street,,,,E09000007,Camden,,,529146.9648867977,,,E09000007,51.5238419134243,-0.13981102205204773,182186.92330842186,5088048,,04/20/2020,Royal Anthropological Institute of Great Britain and Ireland,,E05000129,Bloomsbury,,,,https://www.therai.org.uk/
Camden,Archives,,8 Ely Place Holborn,,,,E09000007,Camden,,,531421.9642681793,,,E09000007,51.51830307716349,-0.10724526013144678,181628.9234583316,5088098,,04/20/2020,International Brewers Guild,,E05000138,Holborn and Covent Garden,,,,https://beerandbrewing.com/dictionary/iu1zbv4d6L/
Camden,Archives,,5-11 Theobalds Road,,,,E09000007,Camden,,,530814.9644343597,,,E09000007,51.52071747614482,-0.11589480150170155,181881.92338922352,5088266,,04/20/2020,Royal College of Paediatrics and Child Health,,E05000138,Holborn and Covent Garden,,,,https://www.rcpch.ac.uk/
Camden,Archives,,6 Queen Square,,,,E09000007,Camden,,,530320.9645685136,,,E09000007,51.521406703398135,-0.12298728096553899,181945.9233723384,5088276,,04/20/2020,Art Workers Guild,,E05000138,Holborn and Covent Garden,,,,http://www.artworkersguild.org/
Camden,Archives,,7 Ridgmount Street,,,,E09000007,Camden,,,529738.9647255677,,,E09000007,51.520309340715194,-0.13142165785296867,181808.92341050104,5088287,,04/20/2020,Chartered Institute of Library and Information Professionals (CILIP),,E05000129,Bloomsbury,,,,https://www.cilip.org.uk/
Camden,Archives,,1 Gower Street,,,,E09000007,Camden,,,529830.9647004978,,,E09000007,51.519793947442004,-0.13011664439373938,181753.92342513235,5088342,,04/20/2020,British Humanist Association,,E05000129,Bloomsbury,,,,https://humanism.org.uk/
